x                   v                   t
0                 0.8                   0
0.00788106            0.776317                0.01
0.0155284            0.753258                0.02
0.0229482            0.730806                0.03
0.0301465            0.708945                0.04
0.0371291            0.687661                0.05
0.0439016            0.666938                0.06
0.0504697            0.646762                0.07
0.0568386            0.627119                0.08
0.0630138            0.607995                0.09
0.0690002            0.589376                 0.1
0.0748029            0.571249                0.11
0.0804268            0.553602                0.12
0.0858765            0.536422                0.13
0.0911567            0.519697                0.14
0.0962719            0.503416                0.15
0.101226            0.487566                0.16
0.106025            0.472137                0.17
0.110671            0.457118                0.18
0.115168            0.442497                0.19
0.119522            0.428266                 0.2
0.123735            0.414413                0.21
0.127811             0.40093                0.22
0.131755            0.387805                0.23
0.135569            0.375031                0.24
0.139256            0.362597                0.25
0.142822            0.350496                0.26
0.146267            0.338718                0.27
0.149597            0.327255                0.28
0.152814            0.316099                0.29
0.15592            0.305242                 0.3
0.158919            0.294676                0.31
0.161815            0.284394                0.32
0.164608            0.274388                0.33
0.167303            0.264651                0.34
0.169902            0.255176                0.35
0.172408            0.245957                0.36
0.174822            0.236986                0.37
0.177148            0.228257                0.38
0.179388            0.219764                0.39
0.181544              0.2115                 0.4
0.183619            0.203461                0.41
0.185614            0.195639                0.42
0.187532            0.188029                0.43
0.189375            0.180627                0.44
0.191145            0.173425                0.45
0.192844             0.16642                0.46
0.194474            0.159605                0.47
0.196037            0.152977                0.48
0.197535            0.146529                0.49
0.198968            0.140258                 0.5
0.20034            0.134159                0.51
0.201652            0.128227                0.52
0.202905            0.122458                0.53
0.204102            0.116848                0.54
0.205243            0.111392                0.55
0.20633            0.106087                0.56
0.207365            0.100928                0.57
0.208349           0.0959125                0.58
0.209284           0.0910356                0.59
0.21017            0.086294                 0.6
0.21101           0.0816842                0.61
0.211804           0.0772028                0.62
0.212555           0.0728465                0.63
0.213262           0.0686118                0.64
0.213927           0.0644957                0.65
0.214552           0.0604951                0.66
0.215138           0.0566068                0.67
0.215685           0.0528281                0.68
0.216194           0.0491559                0.69
0.216668           0.0455875                 0.7
0.217107           0.0421202                0.71
0.217511           0.0387513                0.72
0.217882           0.0354783                0.73
0.218221           0.0322986                0.74
0.218528           0.0292097                0.75
0.218805           0.0262093                0.76
0.219053           0.0232951                0.77
0.219271           0.0204648                0.78
0.219462           0.0177161                0.79
0.219626            0.015047                 0.8
0.219763           0.0124553                0.81
0.219875          0.00993904                0.82
0.219962          0.00749617                0.83
0.220025          0.00512478                0.84
0.220065          0.00282297                0.85
0.220082         0.000588929                0.86
0.220077         -0.00157915                0.87
0.220051         -0.00368299                0.88
0.220004         -0.00572431                0.89
0.219937         -0.00770474                 0.9
0.21985         -0.00962591                0.91
0.219744          -0.0114894                0.92
0.21962          -0.0132966                0.93
0.219478          -0.0150492                0.94
0.219319          -0.0167486                0.95
0.219144          -0.0183961                0.96
0.218952          -0.0199931                0.97
0.218744          -0.0215411                0.98
0.218521          -0.0230412                0.99
0.218283          -0.0244947                   1
0.218031           -0.025903                1.01
0.217765          -0.0272671                1.02
0.217486          -0.0285883                1.03
0.217194          -0.0298677                1.04
0.216889          -0.0311064                1.05
0.216572          -0.0323055                1.06
0.216243          -0.0334661                1.07
0.215903          -0.0345891                1.08
0.215551          -0.0356756                1.09
0.215189          -0.0367266                 1.1
0.214817           -0.037743                1.11
0.214434          -0.0387257                1.12
0.214042          -0.0396757                1.13
0.213641          -0.0405937                1.14
0.213231          -0.0414807                1.15
0.212811          -0.0423375                1.16
0.212384          -0.0431649                1.17
0.211948          -0.0439637                1.18
0.211505          -0.0447346                1.19
0.211054          -0.0454785                 1.2
0.210595           -0.046196                1.21
0.21013          -0.0468878                1.22
0.209658          -0.0475547                1.23
0.209179          -0.0481972                1.24
0.208694          -0.0488162                1.25
0.208203          -0.0494121                1.26
0.207706          -0.0499857                1.27
0.207203          -0.0505375                1.28
0.206695          -0.0510681                1.29
0.206182          -0.0515781                 1.3
0.205663          -0.0520681                1.31
0.20514          -0.0525385                1.32
0.204613            -0.05299                1.33
0.204081          -0.0534231                1.34
0.203544          -0.0538381                1.35
0.203004          -0.0542358                1.36
0.20246          -0.0546164                1.37
0.201912          -0.0549805                1.38
0.20136          -0.0553286                1.39
0.200805           -0.055661                 1.4
0.200247          -0.0559782                1.41
0.199686          -0.0562807                1.42
0.199121          -0.0565687                1.43
0.198554          -0.0568428                1.44
0.197985          -0.0571033                1.45
0.197412          -0.0573506                1.46
0.196838          -0.0575851                1.47
0.196261           -0.057807                1.48
0.195681          -0.0580168                1.49
0.1951          -0.0582148                 1.5
0.194517          -0.0584013                1.51
0.193932          -0.0585767                1.52
0.193346          -0.0587412                1.53
0.192757          -0.0588952                1.54
0.192168          -0.0590389                1.55
0.191577          -0.0591727                1.56
0.190984          -0.0592968                1.57
0.190391          -0.0594115                1.58
0.189796          -0.0595171                1.59
0.189201          -0.0596137                 1.6
0.188604          -0.0597018                1.61
0.188007          -0.0597815                1.62
0.187408           -0.059853                1.63
0.186809          -0.0599166                1.64
0.18621          -0.0599726                1.65
0.18561          -0.0600211                1.66
0.18501          -0.0600623                1.67
0.184409          -0.0600965                1.68
0.183808          -0.0601239                1.69
0.183206          -0.0601446                 1.7
0.182605          -0.0601589                1.71
0.182003           -0.060167                1.72
0.181402           -0.060169                1.73
0.1808          -0.0601651                1.74
0.180198          -0.0601555                1.75
0.179597          -0.0601403                1.76
0.178995          -0.0601198                1.77
0.178394           -0.060094                1.78
0.177794          -0.0600632                1.79
0.177193          -0.0600274                 1.8
0.176593          -0.0599869                1.81
0.175993          -0.0599418                1.82
0.175394          -0.0598922                1.83
0.174796          -0.0598382                1.84
0.174198          -0.0597801                1.85
0.1736          -0.0597178                1.86
0.173003          -0.0596516                1.87
0.172407          -0.0595816                1.88
0.171812          -0.0595079                1.89
0.171217          -0.0594305                 1.9
0.170623          -0.0593497                1.91
0.17003          -0.0592655                1.92
0.169438           -0.059178                1.93
0.168846          -0.0590874                1.94
0.168256          -0.0589937                1.95
0.167666          -0.0588971                1.96
0.167078          -0.0587976                1.97
0.166491          -0.0586953                1.98
0.165904          -0.0585903                1.99
0.165319          -0.0584828                   2
0.164734          -0.0583727                2.01
0.164151          -0.0582603                2.02
0.163569          -0.0581454                2.03
0.162988          -0.0580284                2.04
0.162409          -0.0579091                2.05
0.16183          -0.0577878                2.06
0.161253          -0.0576644                2.07
0.160677           -0.057539                2.08
0.160102          -0.0574118                2.09
0.159529          -0.0572827                 2.1
0.158957          -0.0571519                2.11
0.158386          -0.0570194                2.12
0.157816          -0.0568852                2.13
0.157248          -0.0567495                2.14
0.156681          -0.0566123                2.15
0.156116          -0.0564736                2.16
0.155552          -0.0563335                2.17
0.154989          -0.0561921                2.18
0.154428          -0.0560494                2.19
0.153868          -0.0559055                 2.2
0.15331          -0.0557603                2.21
0.152753          -0.0556141                2.22
0.152197          -0.0554667                2.23
0.151644          -0.0553183                2.24
0.151091          -0.0551689                2.25
0.15054          -0.0550185                2.26
0.149991          -0.0548672                2.27
0.149443          -0.0547151                2.28
0.148896          -0.0545621                2.29
0.148352          -0.0544083                 2.3
0.147808          -0.0542538                2.31
0.147266          -0.0540985                2.32
0.146726          -0.0539426                2.33
0.146188           -0.053786                2.34
0.145651          -0.0536288                2.35
0.145115           -0.053471                2.36
0.144581          -0.0533126                2.37
0.144049          -0.0531538                2.38
0.143518          -0.0529944                2.39
0.142989          -0.0528346                 2.4
0.142461          -0.0526744                2.41
0.141935          -0.0525138                2.42
0.141411          -0.0523528                2.43
0.140888          -0.0521914                2.44
0.140367          -0.0520298                2.45
0.139848          -0.0518678                2.46
0.13933          -0.0517056                2.47
0.138814          -0.0515431                2.48
0.138299          -0.0513803                2.49
0.137786          -0.0512174                 2.5
0.137275          -0.0510543                2.51
0.136765           -0.050891                2.52
0.136257          -0.0507276                2.53
0.13575          -0.0505641                2.54
0.135246          -0.0504005                2.55
0.134742          -0.0502368                2.56
0.134241           -0.050073                2.57
0.133741          -0.0499091                2.58
0.133243          -0.0497453                2.59
0.132746          -0.0495814                 2.6
0.132251          -0.0494175                2.61
0.131758          -0.0492537                2.62
0.131266          -0.0490899                2.63
0.130776          -0.0489261                2.64
0.130287          -0.0487624                2.65
0.129801          -0.0485987                2.66
0.129316          -0.0484352                2.67
0.128832          -0.0482717                2.68
0.12835          -0.0481084                2.69
0.12787          -0.0479452                 2.7
0.127391          -0.0477821                2.71
0.126914          -0.0476192                2.72
0.126439          -0.0474564                2.73
0.125965          -0.0472939                2.74
0.125493          -0.0471315                2.75
0.125022          -0.0469693                2.76
0.124554          -0.0468073                2.77
0.124086          -0.0466455                2.78
0.123621          -0.0464839                2.79
0.123157          -0.0463225                 2.8
0.122694          -0.0461614                2.81
0.122233          -0.0460006                2.82
0.121774            -0.04584                2.83
0.121317          -0.0456797                2.84
0.120861          -0.0455196                2.85
0.120406          -0.0453598                2.86
0.119953          -0.0452003                2.87
0.119502          -0.0450411                2.88
0.119053          -0.0448822                2.89
0.118605          -0.0447236                 2.9
0.118158          -0.0445653                2.91
0.117713          -0.0444074                2.92
0.11727          -0.0442497                2.93
0.116828          -0.0440924                2.94
0.116388          -0.0439354                2.95
0.115949          -0.0437788                2.96
0.115512          -0.0436225                2.97
0.115077          -0.0434666                2.98
0.114643           -0.043311                2.99
0.114211          -0.0431558                   3
0.11378          -0.0430009                3.01
0.113351          -0.0428464                3.02
0.112923          -0.0426923                3.03
0.112497          -0.0425385                3.04
0.112072          -0.0423852                3.05
0.111649          -0.0422322                3.06
0.111228          -0.0420796                3.07
0.110808          -0.0419274                3.08
0.110389          -0.0417756                3.09
0.109972          -0.0416241                 3.1
0.109557          -0.0414731                3.11
0.109143          -0.0413225                3.12
0.10873          -0.0411723                3.13
0.108319          -0.0410225                3.14
0.10791          -0.0408731                3.15
0.107502          -0.0407241                3.16
0.107095          -0.0405755                3.17
0.10669          -0.0404274                3.18
0.106287          -0.0402797                3.19
0.105885          -0.0401324                 3.2
0.105484          -0.0399855                3.21
0.105085           -0.039839                3.22
0.104687           -0.039693                3.23
0.104291          -0.0395473                3.24
0.103896          -0.0394022                3.25
0.103503          -0.0392574                3.26
0.103111          -0.0391131                3.27
0.102721          -0.0389692                3.28
0.102332          -0.0388257                3.29
0.101944          -0.0386827                 3.3
0.101558          -0.0385401                3.31
0.101173           -0.038398                3.32
0.10079          -0.0382563                3.33
0.100408           -0.038115                3.34
0.100028          -0.0379742                3.35
0.0996488          -0.0378338                3.36
0.0992712          -0.0376938                3.37
0.098895          -0.0375543                3.38
0.0985201          -0.0374152                3.39
0.0981467          -0.0372766                 3.4
0.0977746          -0.0371384                3.41
0.0974039          -0.0370007                3.42
0.0970346          -0.0368634                3.43
0.0966666          -0.0367265                3.44
0.0963          -0.0365901                3.45
0.0959348          -0.0364541                3.46
0.095571          -0.0363186                3.47
0.0952084          -0.0361835                3.48
0.0948473          -0.0360489                3.49
0.0944875          -0.0359147                 3.5
0.094129           -0.035781                3.51
0.0937718          -0.0356476                3.52
0.093416          -0.0355148                3.53
0.0930616          -0.0353824                3.54
0.0927084          -0.0352504                3.55
0.0923565          -0.0351189                3.56
0.092006          -0.0349878                3.57
0.0916568          -0.0348571                3.58
0.0913089          -0.0347269                3.59
0.0909622          -0.0345971                 3.6
0.0906169          -0.0344678                3.61
0.0902729          -0.0343389                3.62
0.0899301          -0.0342105                3.63
0.0895887          -0.0340825                3.64
0.0892485          -0.0339549                3.65
0.0889096          -0.0338278                3.66
0.0885719          -0.0337011                3.67
0.0882356          -0.0335748                3.68
0.0879004           -0.033449                3.69
0.0875666          -0.0333236                 3.7
0.087234          -0.0331987                3.71
0.0869026          -0.0330742                3.72
0.0865725          -0.0329501                3.73
0.0862436          -0.0328265                3.74
0.0859159          -0.0327033                3.75
0.0855895          -0.0325805                3.76
0.0852643          -0.0324581                3.77
0.0849404          -0.0323362                3.78
0.0846176          -0.0322147                3.79
0.0842961          -0.0320937                 3.8
0.0839757           -0.031973                3.81
0.0836566          -0.0318528                3.82
0.0833387           -0.031733                3.83
0.0830219          -0.0316137                3.84
0.0827064          -0.0314948                3.85
0.082392          -0.0313762                3.86
0.0820789          -0.0312582                3.87
0.0817669          -0.0311405                3.88
0.0814561          -0.0310232                3.89
0.0811464          -0.0309064                 3.9
0.0808379            -0.03079                3.91
0.0805306           -0.030674                3.92
0.0802244          -0.0305584                3.93
0.0799194          -0.0304433                3.94
0.0796156          -0.0303285                3.95
0.0793129          -0.0302142                3.96
0.0790113          -0.0301003                3.97
0.0787109          -0.0299868                3.98
0.0784116          -0.0298737                3.99
0.0781134           -0.029761                   4
0.0778163          -0.0296487                4.01
0.0775204          -0.0295368                4.02
0.0772256          -0.0294253                4.03
0.0769319          -0.0293143                4.04
0.0766393          -0.0292036                4.05
0.0763478          -0.0290933                4.06
0.0760574          -0.0289835                4.07
0.0757682           -0.028874                4.08
0.07548          -0.0287649                4.09
0.0751929          -0.0286563                 4.1
0.0749068           -0.028548                4.11
0.0746219          -0.0284401                4.12
0.074338          -0.0283326                4.13
0.0740552          -0.0282256                4.14
0.0737735          -0.0281189                4.15
0.0734929          -0.0280126                4.16
0.0732133          -0.0279066                4.17
0.0729347          -0.0278011                4.18
0.0726572           -0.027696                4.19
0.0723808          -0.0275912                 4.2
0.0721054          -0.0274869                4.21
0.0718311          -0.0273829                4.22
0.0715578          -0.0272793                4.23
0.0712855          -0.0271761                4.24
0.0710142          -0.0270732                4.25
0.070744          -0.0269707                4.26
0.0704748          -0.0268687                4.27
0.0702066           -0.026767                4.28
0.0699395          -0.0266656                4.29
0.0696733          -0.0265647                 4.3
0.0694082          -0.0264641                4.31
0.0691441          -0.0263639                4.32
0.0688809           -0.026264                4.33
0.0686188          -0.0261646                4.34
0.0683576          -0.0260655                4.35
0.0680975          -0.0259667                4.36
0.0678383          -0.0258684                4.37
0.0675801          -0.0257703                4.38
0.0673229          -0.0256727                4.39
0.0670666          -0.0255754                 4.4
0.0668114          -0.0254785                4.41
0.0665571          -0.0253819                4.42
0.0663037          -0.0252857                4.43
0.0660513          -0.0251899                4.44
0.0657999          -0.0250944                4.45
0.0655495          -0.0249993                4.46
0.0652999          -0.0249045                4.47
0.0650514          -0.0248101                4.48
0.0648037           -0.024716                4.49
0.064557          -0.0246223                 4.5
0.0643113          -0.0245289                4.51
0.0640665          -0.0244359                4.52
0.0638226          -0.0243432                4.53
0.0635796          -0.0242509                4.54
0.0633376          -0.0241589                4.55
0.0630964          -0.0240673                4.56
0.0628562           -0.023976                4.57
0.0626169           -0.023885                4.58
0.0623785          -0.0237944                4.59
0.062141          -0.0237041                 4.6
0.0619044          -0.0236142                4.61
0.0616687          -0.0235245                4.62
0.0614339          -0.0234353                4.63
0.0612          -0.0233463                4.64
0.060967          -0.0232577                4.65
0.0607349          -0.0231695                4.66
0.0605036          -0.0230815                4.67
0.0602732          -0.0229939                4.68
0.0600437          -0.0229066                4.69
0.0598151          -0.0228197                 4.7
0.0595873           -0.022733                4.71
0.0593604          -0.0226467                4.72
0.0591344          -0.0225607                4.73
0.0589092          -0.0224751                4.74
0.0586849          -0.0223897                4.75
0.0584614          -0.0223047                4.76
0.0582388            -0.02222                4.77
0.058017          -0.0221356                4.78
0.0577961          -0.0220516                4.79
0.057576          -0.0219678                 4.8
0.0573567          -0.0218844                4.81
0.0571383          -0.0218013                4.82
0.0569207          -0.0217184                4.83
0.0567039          -0.0216359                4.84
0.056488          -0.0215538                4.85
0.0562729          -0.0214719                4.86
